Rank,Company,Ticker,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Newcomer_to_the_Fortune500,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCap_March28_M,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,Website,CompanyType,Footnote,MarketCap_Updated_M,Updated
49,Lowe's,LOW,Retailing,Specialty Retailers: Other,yes,no,no,no,-10.0,no,yes,no,yes,yes,no,226000,145752.5,86377.0,-11.0,7726.0,20.0,41795.0,Marvin R. Ellison,U.S.,Mooresville,North Carolina,https://www.lowes.com,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of July 15, 2024.",132299.0,2024-08-05
50,Procter & Gamble,PG,Household Products,Household and Personal Products,yes,no,no,yes,1.0,yes,no,no,yes,yes,no,107000,381777.7,82006.0,2.3,14653.0,-0.6,120829.0,Jon R. Moeller,U.S.,Cincinnati,Ohio,https://www.pginvestor.com,Public,"Figures are for fiscal year ended June 30, 2023. Market value as of July 15, 2024.",388431.0,2024-08-05
51,Energy Transfer,ET,Energy,Pipelines,yes,no,no,yes,-8.0,no,yes,no,yes,no,no,13786,52974.8,78586.0,-12.6,3935.0,-17.3,113698.0,Thomas E. Long/Marshall S. McCrea III,U.S.,Dallas,Texas,https://www.energytransfer.com,Public,"A partnership. Market value as of July 15, 2024.",55235.0,2024-08-05
52,Boeing,BA,Aerospace & Defense,Aerospace & Defense,no,no,no,yes,6.0,yes,no,no,yes,yes,no,171000,117750.0,77794.0,16.8,-2222.0,,137012.0,Kelly K. Ortberg,U.S.,Arlington,Virginia,https://www.boeing.com,Public,"Market value as of July 15, 2024.",109953.0,2024-08-05
53,Albertsons,ACI,Food & Drug Stores,Food & Drug Stores,yes,no,no,yes,0.0,no,no,no,yes,no,no,198650,12350.3,77649.7,8.0,1513.5,-6.6,26168.2,Vivek Sankaran,U.S.,Boise,Idaho,https://www.albertsonscompanies.com,Public,"Figures are for fiscal year ended Feb. 28, 2024. Market value as of July 15, 2024.",11333.0,2024-08-05
54,Sysco,SYY,Wholesalers,Wholesalers: Food and Grocery,yes,no,no,yes,2.0,yes,no,no,yes,no,no,71750,40413.8,76324.7,11.2,1770.1,30.3,22821.1,Kevin P. Hourican,U.S.,Houston,Texas,https://www.sysco.com,Public,"Figures are for fiscal year ended June 30, 2023. Market value as of July 15, 2024.",35755.0,2024-08-05
55,RTX,RTX,Aerospace & Defense,Aerospace & Defense,yes,no,no,yes,2.0,yes,no,no,yes,yes,no,185000,129680.3,68920.0,2.8,3195.0,-38.5,161869.0,Christopher T. Calio,U.S.,Arlington,Virginia,https://www.rtx.com,Public,"Market value as of July 15, 2024.",135104.0,2024-08-05
56,General Electric,GE,Industrials,Industrial Machinery,yes,no,no,no,-4.0,no,yes,no,yes,no,no,125000,191901.2,67954.0,-11.2,9481.0,4113.8,163045.0,H. Lawrence Culp Jr.,U.S.,Boston,Massachusetts,https://www.ge.com,Public,"Market value as of July 15, 2024.",174655.0,2024-08-05
57,Lockheed Martin,LMT,Aerospace & Defense,Aerospace & Defense,yes,no,no,yes,3.0,yes,no,no,yes,yes,no,122000,109394.2,67571.0,2.4,6920.0,20.7,52456.0,James D. Taiclet Jr.,U.S.,Bethesda,Maryland,https://www.lockheedmartin.com,Public,"Market value as of July 15, 2024.",111303.0,2024-08-05
58,American Express,AXP,Financials,Diversified Financials,yes,no,no,no,19.0,yes,no,no,yes,yes,yes,74600,163945.6,67364.0,21.1,8374.0,11.4,261108.0,Stephen J. Squeri,U.S.,New York,New York,https://www.americanexpress.com,Public,"Market value as of July 15, 2024.",175510.0,2024-08-05
59,Caterpillar,CAT,Industrials,Construction and Farm Machinery,yes,no,no,yes,9.0,yes,no,no,yes,yes,no,113200,182986.8,67060.0,12.8,10335.0,54.1,87476.0,D. James Umpleby III,U.S.,Irving,Texas,https://www.caterpillar.com,Public,"Market value as of July 15, 2024.",169100.0,2024-08-05
60,MetLife,MET,Financials,"Insurance: Life, Health (stock)",yes,no,no,no,-6.0,no,yes,no,yes,yes,yes,45000,53583.0,66905.0,-4.3,1578.0,-37.8,687584.0,Michel A. Khalaf,U.S.,New York,New York,https://www.metlife.com,Public,"Market value as of July 15, 2024.",52929.0,2024-08-05
61,HCA Healthcare,HCA,Health Care,Health Care: Medical Facilities,yes,no,no,yes,5.0,yes,no,no,yes,yes,no,265000,88213.8,64968.0,7.9,5242.0,-7.1,56211.0,Samuel N. Hazen,U.S.,Nashville,Tennessee,https://www.hcahealthcare.com,Public,"Market value as of July 15, 2024.",83022.0,2024-08-05
62,Progressive,PGR,Financials,Insurance: Property and Casualty (Stock),yes,no,yes,yes,26.0,yes,no,no,yes,yes,yes,61432,121134.1,62108.5,25.2,3902.4,440.9,88690.8,Susan Patricia  Griffith,U.S.,Mayfield Village,Ohio,https://www.progressive.com,Public,"Market value as of July 15, 2024.",127155.0,2024-08-05
63,IBM,IBM,Technology,Information Technology Services,yes,no,no,no,2.0,yes,no,no,yes,yes,no,296600,175061.6,61860.0,2.2,7502.0,357.7,135241.0,Arvind Krishna,U.S.,Armonk,New York,https://www.ibm.com,Public,"Market value as of July 15, 2024.",167994.0,2024-08-05
64,Deere,DE,Industrials,Construction and Farm Machinery,yes,no,no,yes,17.0,yes,no,no,yes,yes,no,82956,114332.9,61251.0,16.5,10166.0,42.6,104087.0,John C. May,U.S.,Moline,Illinois,https://www.deere.com,Public,"Figures are for fiscal year ended Oct. 31, 2023. Market value as of July 15, 2024.",102421.0,2024-08-05
65,Nvidia,NVDA,Technology,Semiconductors and Other Electronic Components,yes,yes,no,yes,87.0,yes,no,no,no,yes,yes,29600,2258900.0,60922.0,125.9,29760.0,581.3,65728.0,Jensen Huang,U.S.,Santa Clara,California,https://www.nvidia.com,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of July 15, 2024.",3159624.0,2024-08-05
66,StoneX Group,SNEX,Financials,Diversified Financials,yes,no,no,yes,-7.0,no,yes,no,yes,no,no,4137,2216.7,60856.1,-7.8,238.5,15.2,21938.7,Sean M. O'Connor,U.S.,New York,New York,https://www.stonex.com,Public,"Figures are for fiscal year ended Sept. 30, 2023. Company reports sale of physical commodities on a gross basis. Market value as of July 15, 2024.",2516.0,2024-08-05
67,Merck,MRK,Health Care,Pharmaceuticals,yes,no,no,yes,2.0,yes,no,no,yes,yes,yes,71000,334182.4,60115.0,1.4,365.0,-97.5,106675.0,Robert M. Davis,U.S.,Rahway,New Jersey,https://www.merck.com,Public,"Market value as of July 15, 2024.",324503.0,2024-08-05
68,ConocoPhillips,COP,Energy,"Mining, Crude-Oil Production",yes,no,no,yes,-19.0,no,yes,no,yes,no,no,9900,149733.3,58574.0,-28.7,10957.0,-41.3,95924.0,Ryan M. Lance,U.S.,Houston,Texas,https://www.conocophillips.com,Public,"Market value as of July 15, 2024.",133994.0,2024-08-05
69,Pfizer,PFE,Health Care,Pharmaceuticals,yes,no,no,yes,-31.0,no,yes,no,yes,yes,no,88000,157135.5,58496.0,-41.7,2119.0,-93.2,226501.0,Albert Bourla,U.S.,New York,New York,https://www.pfizer.com,Public,"Market value as of July 15, 2024.",164898.0,2024-08-05
70,Delta Air Lines,DAL,Transportation,Airlines,yes,no,no,yes,15.0,yes,no,no,yes,yes,yes,103000,30795.9,58048.0,14.8,4609.0,249.7,73644.0,Edward H. Bastian,U.S.,Atlanta,Georgia,https://www.delta.com,Public,"Market value as of July 15, 2024.",27753.0,2024-08-05
71,TD Synnex,SNX,Wholesalers,Wholesalers: Electronics and Office Equipment,yes,no,no,no,-7.0,no,yes,no,yes,yes,no,28000,9856.6,57555.4,-7.7,626.9,-3.7,29412.8,Patrick  Zammit/Richard T. Hume,U.S.,Fremont,California,https://www.tdsynnex.com,Public,"Figures are for fiscal year ended Nov. 30, 2023. Market value as of July 15, 2024.",9836.0,2024-08-05
72,Publix Super Markets,PFE,Food & Drug Stores,Food & Drug Stores,yes,no,no,yes,6.0,yes,no,no,yes,yes,yes,253000,,57534.0,4.7,4349.0,49.0,34384.0,Kevin S. Murphy,U.S.,Lakeland,Florida,https://www.publix.com,Private,"Figures are for fiscal year ended Dec. 31, 2023.",,2024-08-05
73,Allstate,ALL,Financials,Insurance: Property and Casualty (Stock),no,no,no,no,11.0,yes,no,no,yes,yes,no,53200,45513.3,57094.0,11.1,-188.0,,103362.0,Thomas J. Wilson,U.S.,Northbrook,Illinois,https://www.allstate.com,Public,"Market value as of July 15, 2024.",44050.0,2024-08-05
74,Cisco Systems,CSCO,Technology,Network and Other Communications Equipment,yes,no,no,yes,8.0,yes,no,no,yes,no,yes,84900,202094.9,56998.0,10.6,12613.0,6.8,101852.0,Charles H. Robbins,U.S.,San Jose,California,https://www.cisco.com,Public,"Figures are for fiscal year ended July 31, 2023. Market value as of July 15, 2024.",191932.0,2024-08-05
75,Nationwide,,Financials,Insurance: Property and Casualty (Mutual),no,no,no,no,8.0,yes,no,no,yes,no,yes,24118,,54609.4,6.1,-45.2,-104.6,290615.0,Kirt A. Walker,U.S.,Columbus,Ohio,https://www.nationwide.com,Private,"Figures are for fiscal year ended Dec. 31, 2022.",,2024-08-05
76,Charter Communications,CHTR,Telecommunications,Telecommunications,yes,no,no,no,3.0,yes,no,no,yes,no,no,101100,51316.0,54607.0,1.1,4557.0,-9.9,147193.0,Christopher L. Winfrey,U.S.,Stamford,Connecticut,https://www.charter.com,Public,"Market value as of July 15, 2024.",52350.0,2024-08-05
77,AbbVie,ABBV,Health Care,Pharmaceuticals,yes,no,no,no,-4.0,no,yes,no,yes,yes,yes,50000,322434.8,54318.0,-6.4,4863.0,-58.9,134711.0,Robert A. Michael,U.S.,North Chicago,Illinois,https://www.abbvie.com,Public,"Market value as of July 15, 2024.",296719.0,2024-08-05
78,New York Life Insurance,,Financials,"Insurance: Life, Health (Mutual)",yes,no,no,yes,-7.0,no,yes,no,yes,yes,no,15384,,54317.2,-7.1,804.6,,408904.9,Craig DeSanto,U.S.,New York,New York,https://www.newyorklife.com,Private,"Figures are for fiscal year ended Dec. 31, 2022.",,2024-08-05
79,Intel,INTC,Technology,Semiconductors and Other Electronic Components,yes,no,no,no,-17.0,no,yes,no,yes,no,no,124800,188026.0,54228.0,-14.0,1689.0,-78.9,191572.0,Patrick P. Gelsinger,U.S.,Santa Clara,California,https://www.intel.com,Public,"Market value as of July 15, 2024.",146692.0,2024-08-05
80,TJX,TJX,Retailing,Specialty Retailers: Apparel,yes,no,no,yes,7.0,yes,no,no,yes,yes,no,349000,115586.0,54217.0,8.6,4474.0,27.9,29747.0,Ernie L. Herrman,U.S.,Framingham,Massachusetts,https://www.tjx.com,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of July 15, 2024.",128622.0,2024-08-05
81,Prudential Financial,PRU,Financials,"Insurance: Life, Health (stock)",yes,no,no,yes,-14.0,no,yes,no,yes,yes,no,40366,42191.2,53979.0,-10.1,2488.0,,721123.0,Charles F. Lowrey,U.S.,Newark,New Jersey,https://www.prudential.com,Public,"Market value as of July 15, 2024.",45069.0,2024-08-05
