Time	Name	Amount	Location	Zip Code	Balance
09:15	Movie Theater	-12.00	Portland	97201	7532.73
09:30	Interest Credit	+5.00	New York	10001	7537.73
09:45	Starbucks	-5.50	New York	10001	7532.23
10:00	Apple Store	-299.99	San Francisco	94101	7232.24
10:15	Pharmacy	-25.50	Houston	77001	7206.74
10:30	Electric Bill	-80.75	San Francisco	94101	7125.99
10:45	Water Bill	-50.00	Atlanta	30301	7075.99
11:00	ATM Withdrawal	-100.00	Chicago	60601	6975.99
11:15	Restaurant	-60.25	Miami	33101	6915.74
11:30	Best Buy	-499.99	Seattle	98101	6415.75
11:45	Dividend Credit	+25.00	New York	10001	6440.75
12:00	Telephone Bill	-60.00	Chicago	60601	6380.75
12:15	Insurance Payment	-150.00	Houston	77001	6230.75
12:30	Grocery Store	-130.25	Atlanta	30301	6100.50
12:45	Starbucks	-6.75	San Diego	92101	6093.75
13:00	ATM Deposit	+1500.00	New York	10001	7593.75
13:15	Amazon	-89.99	Seattle	98101	7503.76
13:30	Gas Station	-40.00	Miami	33101	7463.76
13:45	Uber	-15.50	Chicago	60601	7448.26
14:00	Airbnb	-250.00	Los Angeles	90001	7198.26
14:15	Netflix	-13.99	New York	10001	7184.27
14:30	Restaurant	-75.00	Miami	33101	7109.27
14:45	Spotify	-9.99	San Diego	92101	7099.28
15:00	Home Depot	-200.00	Denver	80201	6899.28
15:15	Utility Bill	-100.00	Boston	02108	6799.28
15:30	Apple Store	-299.99	San Francisco	94101	6499.29
15:45	ATM Withdrawal	-200.00	Dallas	75201	6299.29
16:00	Grocery Store	-120.45	Atlanta	30301	6178.84
16:15	Refund	+50.00	Seattle	98101	6228.84
16:30	Gas Station	-35.00	Houston	77001	6193.84
16:45	Restaurant	-60.25	Miami	33101	6133.59
17:00	Starbucks	-5.50	New York	10001	6128.09
17:15	Interest Credit	+5.00	Chicago	60601	6133.09
17:30	Amazon	-89.99	Seattle	98101	6043.10
17:45	Movie Theater	-12.00	Portland	97201	6031.10
18:00	Gym Membership	-45.00	Los Angeles	90001	5986.10
18:15	Pharmacy	-25.50	Houston	77001	5960.60
18:30	Paycheck Deposit	+1500.00	New York	10001	7460.60
18:45	Utility Bill	-120.00	Boston	02108	7340.60
19:00	Walmart	-45.67	Houston	77001	7294.93
19:15	Apple Store	-299.99	San Francisco	94101	6994.94
19:30	Grocery Store	-76.45	Miami	33101	6918.49
19:45	Spotify	-9.99	San Francisco	94101	6908.50
20:00	ATM Withdrawal	-100.00	Chicago	60601	6808.50
20:15	Hotel	-300.00	Las Vegas	89101	6508.50
20:30	Restaurant	-75.00	Miami	33101	6433.50
20:45	Starbucks	-6.75	San Diego	92101	6426.75
21:00	Amazon	-150.00	Seattle	98101	6276.75
21:15	Gas Station	-40.00	Miami	33101	6236.75
21:30	Uber	-15.50	Chicago	60601	6221.25
21:45	Airbnb	-250.00	Los Angeles	90001	5971.25
22:00	Electric Bill	-80.75	San Francisco	94101	5890.50
22:15	Water Bill	-50.00	Atlanta	30301	5840.50
22:30	Pharmacy	-25.50	Houston	77001	5815.00
22:45	Dividend Credit	+25.00	New York	10001	5840.00
23:00	ATM Deposit	+1500.00	New York	10001	7340.00
23:15	Netflix	-13.99	Los Angeles	90001	7326.01
23:30	Best Buy	-499.99	Seattle	98101	6826.02
23:45	Movie Theater	-12.00	Portland	97201	6814.02
