Date,Time,Name,Amount,Location,Zip,Balance,Fraud
2024-03-01,09:00:00,Car,-300.0,Oviedo FL,32765,4248.29,0
2024-03-01,13:04:00,Netflix,-51.91,Oviedo FL,32765,4196.38,0
2024-03-01,13:18:00,Target,-13.96,Winter Park FL,32789,4182.42,0
2024-03-01,14:55:00,McDonald's,-9.24,Orlando FL,32816,4173.18,0
2024-03-02,17:55:00,Best Buy,-81.95,Orlando FL,32816,4091.23,0
2024-03-02,00:58:00,IBM,-395.06,Groton CT,93306,3696.17,1
2024-03-02,17:31:00,McDonald's,-12.66,Orlando FL,32816,4078.57,0
2024-03-02,18:12:00,Trader Joe's,-78.74,Orlando FL,32816,3999.83,0
2024-03-02,13:55:00,Paypal,-2611.66,Charleston SC,22928,1388.17,1
2024-03-03,20:45:00,Kroger,-93.11,Winter Park FL,32789,3906.72,0
2024-03-05,10:08:00,BP,-18.37,Oviedo FL,32765,3888.35,0
2024-03-05,14:49:00,Shell,-23.34,Winter Park FL,32789,3865.01,0
2024-03-05,21:58:00,Concert Tickets,-49.59,Orlando FL,32816,3815.42,0
2024-03-06,21:15:00,Burger King,-26.71,Winter Park FL,32789,3788.71,0
2024-03-06,09:16:00,Target,-81.62,Orlando FL,32816,3707.09,0
2024-03-07,09:00:00,Spotify,-11.99,Oviedo FL,32765,3695.1,0
2024-03-07,09:00:00,Internet,-70.89,Oviedo FL,32765,3624.21,0
2024-03-07,09:00:00,ChatGPT Plus,-20.0,Oviedo FL,32765,3604.21,0
2024-03-08,12:00:00,Onlyfans,-2246.61,Pyongyang NK,98148,1357.6,1
2024-03-08,18:18:00,Walmart,-29.67,Winter Park FL,32789,3574.54,0
2024-03-09,19:11:00,McDonald's,-27.22,Orlando FL,32816,3547.32,0
2024-03-10,19:45:00,Subway,-11.81,Orlando FL,32816,3535.51,0
2024-03-10,10:14:00,Publix,-31.77,Orlando FL,32816,3503.74,0
2024-03-10,11:43:00,Netflix,-46.33,Winter Park FL,32789,3457.41,0
2024-03-11,08:00:00,Paycheck,2000.0,Oviedo FL,32765,5457.41,0
2024-03-12,09:53:00,Burger King,-18.41,Oviedo FL,32765,5439.0,0
2024-03-12,20:34:00,Best Buy,-54.04,Oviedo FL,32765,5384.96,0
2024-03-12,17:49:00,Subway,-25.87,Winter Park FL,32789,5359.09,0
2024-03-12,15:06:00,Fraud,-2199.71,London EN,40845,3159.38,1
2024-03-13,04:56:00,Onlyfans,-1794.42,Groton CT,84259,3564.67,1
2024-03-13,10:37:00,Starbucks,-36.59,Winter Park FL,32789,5322.5,0
2024-03-14,17:49:00,Trader Joe's,-58.33,Winter Park FL,32789,5264.17,0
2024-03-14,10:26:00,Starbucks,-23.43,Winter Park FL,32789,5240.74,0
2024-03-14,13:19:00,Burger King,-23.33,Orlando FL,32816,5217.41,0
2024-03-15,01:44:00,Accelerators,-2354.31,Charleston SC,71490,2863.1,1
2024-03-15,20:20:00,Netflix,-23.91,Winter Park FL,32789,5193.5,0
2024-03-17,11:07:00,Starbucks,-34.9,Oviedo FL,32765,5158.6,0
2024-03-18,16:35:00,McDonald's,-17.65,Winter Park FL,32789,5140.95,0
2024-03-18,14:28:00,Starbucks,-38.07,Winter Park FL,32789,5102.88,0
2024-03-19,08:35:00,Amazon,-13.41,Orlando FL,32816,5089.47,0
2024-03-19,09:36:00,Burger King,-14.26,Oviedo FL,32765,5075.21,0
2024-03-21,14:43:00,Subway,-13.5,Orlando FL,32816,5061.71,0
2024-03-21,13:17:00,Starbucks,-11.54,Orlando FL,32816,5050.17,0
2024-03-22,19:46:00,Amusement Park,-51.28,Orlando FL,32816,4998.89,0
2024-03-22,10:18:00,BP,-22.58,Winter Park FL,32789,4976.31,0
2024-03-23,16:01:00,Walmart,-129.49,Winter Park FL,32789,4846.82,0
2024-03-23,09:22:00,Publix,-82.67,Oviedo FL,32765,4764.15,0
2024-03-23,15:04:00,Five Below,-20.59,Oviedo FL,32765,4743.56,0
2024-03-24,20:53:00,Paypal,-941.58,Charleston SC,67192,3801.98,1
2024-03-24,15:54:00,Whole Foods,-49.66,Orlando FL,32816,4693.9,0
2024-03-24,19:19:00,Midas,-122.88,Orlando FL,32816,4571.02,0
2024-03-25,08:00:00,Paycheck,2000.0,Oviedo FL,32765,6571.02,0
2024-03-25,14:42:00,Walmart,-207.7,Orlando FL,32816,6363.32,0
2024-03-25,16:46:00,Five Below,-68.91,Oviedo FL,32765,6294.41,0
2024-03-26,11:47:00,Concert Tickets,-73.32,Winter Park FL,32789,6221.09,0
2024-03-27,09:35:00,Publix,-106.72,Winter Park FL,32789,6114.37,0
2024-03-29,12:50:00,Magic the Gathering,-644.73,Charleston SC,61010,5469.64,1
2024-03-29,12:36:00,Netflix,-57.66,Winter Park FL,32789,6056.71,0
2024-03-29,11:25:00,Walmart,-118.29,Winter Park FL,32789,5938.42,0
2024-03-30,16:46:00,Best Buy,-126.91,Winter Park FL,32789,5811.51,0
2024-03-31,11:54:00,McDonald's,-16.58,Oviedo FL,32765,5794.93,0
2024-03-31,14:27:00,Subway,-28.6,Oviedo FL,32765,5766.33,0
2024-03-31,20:29:00,Target,-87.28,Oviedo FL,32765,5679.05,0
2024-04-01,09:00:00,Rent,-960.0,Oviedo FL,32765,4719.05,0
2024-04-01,09:00:00,Insurance,-197.46,Oviedo FL,32765,4521.59,0
2024-04-01,09:00:00,Car,-300.0,Oviedo FL,32765,4221.59,0
2024-04-02,09:30:00,Burger King,-30.31,Winter Park FL,32789,4191.28,0
2024-04-02,11:45:00,Exxon,-20.24,Orlando FL,32816,4171.04,0
2024-04-03,20:53:00,Burger King,-9.95,Orlando FL,32816,4161.09,0
2024-04-04,12:33:00,BP,-25.36,Orlando FL,32816,4135.73,0
2024-04-04,18:54:00,Amusement Park,-48.87,Oviedo FL,32765,4086.86,0
2024-04-05,11:37:00,Concert Tickets,-49.34,Orlando FL,32816,4037.52,0
2024-04-05,19:48:00,Best Buy,-63.69,Orlando FL,32816,3973.83,0
2024-04-05,07:26:00,IBM,-2162.37,Los Angeles CA,52579,1811.46,1
2024-04-05,20:40:00,McDonald's,-11.79,Winter Park FL,32789,3962.04,0
2024-04-06,15:04:00,Netflix,-33.9,Orlando FL,32816,3928.14,0
2024-04-06,08:20:00,Burger King,-20.82,Oviedo FL,32765,3907.32,0
2024-04-07,09:00:00,Spotify,-11.99,Oviedo FL,32765,3895.33,0
2024-04-07,09:00:00,Internet,-70.89,Oviedo FL,32765,3824.44,0
2024-04-07,09:00:00,ChatGPT Plus,-20.0,Oviedo FL,32765,3804.44,0
2024-04-07,10:48:00,Kroger,-99.79,Winter Park FL,32789,3704.65,0
2024-04-07,16:12:00,Burger King,-8.75,Orlando FL,32816,3695.9,0
2024-04-07,08:34:00,Amazon,-95.15,Orlando FL,32816,3600.75,0
2024-04-08,08:00:00,Paycheck,2000.0,Oviedo FL,32765,5600.75,0
2024-04-08,19:57:00,Onlyfans,-2307.4,New York NY,91786,3293.35,1
2024-04-08,13:12:00,Target,-64.81,Winter Park FL,32789,5535.94,0
2024-04-09,09:25:00,Target,-127.27,Winter Park FL,32789,5408.67,0
2024-04-09,09:31:00,Trader Joe's,-69.34,Orlando FL,32816,5339.33,0
2024-04-09,10:30:00,Target,-39.02,Orlando FL,32816,5300.31,0
2024-04-10,10:56:00,Chevron,-12.46,Oviedo FL,32765,5287.85,0
2024-04-11,18:35:00,Movie Theater,-11.27,Orlando FL,32816,5276.58,0
2024-04-11,14:06:00,Subway,-33.62,Orlando FL,32816,5242.96,0
2024-04-11,18:36:00,Subway,-20.29,Oviedo FL,32765,5222.67,0
2024-04-12,08:28:00,Subway,-32.68,Oviedo FL,32765,5189.99,0
2024-04-13,03:50:00,Fraud,-1853.05,Tokyo JP,49042,3336.94,1
2024-04-13,17:37:00,Movie Theater,-22.24,Orlando FL,32816,5167.75,0
2024-04-13,21:43:00,Target,-64.2,Winter Park FL,32789,5103.55,0
2024-04-13,12:22:00,Netflix,-33.53,Orlando FL,32816,5070.02,0
2024-04-14,11:33:00,Walmart,-125.77,Orlando FL,32816,4944.25,0
2024-04-14,21:58:00,McDonald's,-22.24,Oviedo FL,32765,4922.01,0
2024-04-15,10:14:00,Walgreens,-8.28,Oviedo FL,32765,4913.73,0
2024-04-15,13:00:00,McDonald's,-22.64,Winter Park FL,32789,4891.09,0
2024-04-15,17:41:00,Burger King,-18.71,Orlando FL,32816,4872.38,0
2024-04-16,09:03:00,Amusement Park,-28.52,Winter Park FL,32789,4843.86,0
2024-04-16,17:39:00,McDonald's,-10.2,Oviedo FL,32765,4833.66,0
2024-04-16,16:03:00,McDonald's,-37.61,Oviedo FL,32765,4796.05,0
2024-04-17,13:03:00,CVS,-44.24,Oviedo FL,32765,4751.81,0
2024-04-20,08:31:00,Dollar Tree,-11.07,Orlando FL,32816,4740.74,0
2024-04-20,21:17:00,CVS,-6.38,Orlando FL,32816,4734.36,0
2024-04-20,14:41:00,BP,-26.59,Oviedo FL,32765,4707.77,0
2024-04-21,16:02:00,McDonald's,-30.29,Oviedo FL,32765,4677.48,0
2024-04-21,08:07:00,Subway,-32.68,Orlando FL,32816,4644.8,0
2024-04-21,12:06:00,Target,-78.17,Orlando FL,32816,4566.63,0
2024-04-22,08:00:00,Paycheck,2000.0,Oviedo FL,32765,6566.63,0
2024-04-23,10:17:00,BP,-20.24,Orlando FL,32816,6546.39,0
2024-04-23,15:21:00,Chevron,-32.32,Orlando FL,32816,6514.07,0
2024-04-23,08:24:00,Pep Boys,-270.73,Winter Park FL,32789,6243.34,0
2024-04-24,11:38:00,Midas,-324.1,Orlando FL,32816,5919.24,0
2024-04-24,08:05:00,Trader Joe's,-65.63,Winter Park FL,32789,5853.61,0
2024-04-26,09:13:00,Walmart,-30.97,Winter Park FL,32789,5822.64,0
2024-04-27,16:56:00,Dollar Tree,-47.85,Orlando FL,32816,5774.79,0
2024-04-27,19:24:00,BP,-17.44,Winter Park FL,32789,5757.35,0
2024-04-28,14:34:00,Target,-43.79,Winter Park FL,32789,5713.56,0
2024-04-28,15:40:00,Trader Joe's,-45.83,Winter Park FL,32789,5667.73,0
2024-04-28,04:05:00,Lockheed Martin,-1598.16,Honolulu HI,67645,4069.57,1
2024-04-29,15:18:00,BP,-13.23,Winter Park FL,32789,5654.5,0
2024-04-30,17:39:00,McDonald's,-14.7,Oviedo FL,32765,5639.8,0
2024-04-30,17:29:00,Pep Boys,-100.31,Orlando FL,32816,5539.49,0
2024-05-01,09:00:00,Rent,-960.0,Oviedo FL,32765,4579.49,0
2024-05-01,09:00:00,Insurance,-197.46,Oviedo FL,32765,4382.03,0
2024-05-01,09:00:00,Car,-300.0,Oviedo FL,32765,4082.03,0
2024-05-01,11:13:00,Publix,-82.47,Oviedo FL,32765,3999.56,0
2024-05-01,09:34:00,Servicenow,-2382.32,London EN,46322,1617.24,1
2024-05-01,08:52:00,Starbucks,-39.62,Orlando FL,32816,3959.94,0
2024-05-04,17:40:00,Burger King,-31.58,Oviedo FL,32765,3928.36,0
2024-05-04,19:40:00,Jiffy Lube,-164.64,Oviedo FL,32765,3763.72,0
2024-05-05,12:23:00,Trader Joe's,-51.97,Oviedo FL,32765,3711.75,0
2024-05-06,08:00:00,Paycheck,2000.0,Oviedo FL,32765,5711.75,0
2024-05-06,10:44:00,Shell,-18.3,Oviedo FL,32765,5693.45,0
2024-05-06,18:13:00,Amusement Park,-41.56,Orlando FL,32816,5651.89,0
2024-05-06,04:52:00,Impractical Jokers,-1942.34,Tokyo JP,79413,3709.55,1
2024-05-06,20:29:00,Shell,-28.65,Oviedo FL,32765,5623.24,0
2024-05-07,09:00:00,Spotify,-11.99,Oviedo FL,32765,5611.25,0
2024-05-07,09:00:00,Internet,-70.89,Oviedo FL,32765,5540.36,0
2024-05-07,09:00:00,ChatGPT Plus,-20.0,Oviedo FL,32765,5520.36,0
2024-05-07,14:14:00,Best Buy,-87.22,Orlando FL,32816,5433.14,0
2024-05-07,15:16:00,Subway,-11.12,Orlando FL,32816,5422.02,0
2024-05-08,18:07:00,Fat Joe,-1589.55,Anchorage AL,32363,3832.47,1
2024-05-08,18:02:00,Kroger,-72.76,Oviedo FL,32765,5349.26,0
2024-05-11,18:24:00,Target,-36.31,Oviedo FL,32765,5312.95,0
2024-05-12,12:21:00,Starbucks,-31.69,Oviedo FL,32765,5281.26,0
2024-05-13,08:49:00,Dollar Tree,-8.99,Winter Park FL,32789,5272.27,0
2024-05-13,18:47:00,Dollar Tree,-21.95,Orlando FL,32816,5250.32,0
2024-05-13,21:15:00,Whole Foods,-95.68,Orlando FL,32816,5154.64,0
2024-05-15,11:00:00,Starbucks,-25.36,Orlando FL,32816,5129.28,0
2024-05-15,08:46:00,Kroger,-81.87,Orlando FL,32816,5047.41,0
2024-05-16,14:59:00,Burger King,-18.72,Winter Park FL,32789,5028.69,0
2024-05-17,16:37:00,Burger King,-21.99,Winter Park FL,32789,5006.7,0
2024-05-17,15:55:00,Starbucks,-8.51,Orlando FL,32816,4998.19,0
2024-05-17,13:05:00,Onlyfans,-329.33,Honolulu HI,55295,4668.86,1
2024-05-19,12:08:00,Five Below,-16.93,Orlando FL,32816,4981.26,0
2024-05-19,17:10:00,McDonald's,-24.19,Winter Park FL,32789,4957.07,0
2024-05-20,08:00:00,Paycheck,2000.0,Oviedo FL,32765,6957.07,0
2024-05-20,08:30:00,Fraud,-2470.22,Anchorage AL,62934,4486.85,1
2024-05-21,18:06:00,McDonald's,-13.53,Winter Park FL,32789,6943.54,0
2024-05-21,13:28:00,Trader Joe's,-155.88,Oviedo FL,32765,6787.66,0
2024-05-22,11:59:00,Starbucks,-26.4,Oviedo FL,32765,6761.26,0
2024-05-22,23:41:00,Monster Energy,-1277.52,Charleston SC,62444,5483.74,1
2024-05-24,11:54:00,Target,-171.93,Orlando FL,32816,6589.33,0
2024-05-24,08:15:00,Subway,-57.13,Orlando FL,32816,6532.2,0
2024-05-25,13:01:00,Chevron,-42.92,Winter Park FL,32789,6489.28,0
2024-05-26,17:53:00,Movie Theater,-116.44,Winter Park FL,32789,6372.84,0
2024-05-26,13:13:00,Movie Theater,-32.85,Winter Park FL,32789,6339.99,0
2024-05-29,14:48:00,Amazon,-74.32,Orlando FL,32816,6265.67,0
2024-05-29,02:49:00,Pawn Stars,-2861.23,Anchorage AL,74762,3404.44,1
2024-05-29,12:32:00,Starbucks,-38.5,Orlando FL,32816,6227.17,0
2024-05-30,11:59:00,Subway,-13.79,Oviedo FL,32765,6213.38,0
2024-06-01,09:00:00,Rent,-960.0,Oviedo FL,32765,5253.38,0
2024-06-01,09:00:00,Insurance,-197.46,Oviedo FL,32765,5055.92,0
2024-06-01,09:00:00,Car,-300.0,Oviedo FL,32765,4755.92,0
2024-06-01,11:59:00,Target,-69.99,Winter Park FL,32789,4685.93,0
2024-06-02,19:38:00,Fraud,-1066.34,Pyongyang NK,20508,3619.59,1
2024-06-02,17:59:00,Burger King,-30.41,Winter Park FL,32789,4655.52,0
2024-06-03,08:00:00,Paycheck,2000.0,Oviedo FL,32765,6655.52,0
2024-06-03,15:01:00,Burger King,-52.56,Winter Park FL,32789,6602.96,0
2024-06-03,08:50:00,AutoZone,-112.09,Oviedo FL,32765,6490.87,0
2024-06-03,21:01:00,Walmart,-139.53,Orlando FL,32816,6351.34,0
2024-06-03,23:08:00,IBM,-1976.22,Honolulu HI,96000,4375.12,1
2024-06-04,10:43:00,Burger King,-34.03,Orlando FL,32816,6317.31,0
2024-06-05,20:59:00,Burger King,-26.58,Winter Park FL,32789,6290.73,0
2024-06-05,02:32:00,Magic the Gathering,-1380.8,Charleston SC,80417,4909.93,1
2024-06-05,12:40:00,McDonald's,-26.18,Orlando FL,32816,6264.55,0
2024-06-06,16:33:00,Exxon,-27.19,Winter Park FL,32789,6237.36,0
2024-06-07,09:00:00,Spotify,-11.99,Oviedo FL,32765,6225.37,0
2024-06-07,09:00:00,Internet,-70.89,Oviedo FL,32765,6154.48,0
2024-06-07,09:00:00,ChatGPT Plus,-20.0,Oviedo FL,32765,6134.48,0
2024-06-07,17:50:00,Starbucks,-29.49,Oviedo FL,32765,6104.99,0
2024-06-07,17:45:00,Exxon,-25.12,Orlando FL,32816,6079.87,0
2024-06-07,16:45:00,Best Buy,-147.8,Oviedo FL,32765,5932.07,0
2024-06-08,12:57:00,Subway,-6.3,Orlando FL,32816,5925.77,0
2024-06-08,10:46:00,McDonald's,-30.0,Orlando FL,32816,5895.77,0
2024-06-09,14:38:00,Midas,-182.91,Oviedo FL,32765,5712.86,0
2024-06-09,11:22:00,McDonald's,-39.49,Orlando FL,32816,5673.37,0
2024-06-09,06:02:00,Onlyfans,-2888.44,Charleston SC,43462,2784.93,1
2024-06-09,12:15:00,Movie Theater,-45.33,Winter Park FL,32789,5628.04,0
2024-06-09,20:05:00,Pawn Stars,-1938.57,Mexico City MC,51251,3689.47,1
2024-06-11,11:21:00,Amazon,-69.72,Orlando FL,32816,5558.32,0
2024-06-12,15:21:00,Starbucks,-30.55,Oviedo FL,32765,5527.77,0
2024-06-12,14:23:00,Burger King,-10.41,Orlando FL,32816,5517.36,0
2024-06-12,21:06:00,BP,-14.55,Orlando FL,32816,5502.81,0
2024-06-12,17:09:00,Paypal,-1347.07,Pyongyang NK,90132,4155.74,1
2024-06-13,10:05:00,Starbucks,-23.39,Oviedo FL,32765,5479.42,0
2024-06-13,14:35:00,Kroger,-83.2,Oviedo FL,32765,5396.22,0
